City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Wyndham,US,80.87,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
576,Meulaboh,ID,79.72,broken clouds,4.1363,96.1285,Kost Pria
577,Dumai,ID,81.88,broken clouds,1.6833,101.45,Grand Zuri Dumai
579,Umm Kaddadah,SD,80.65,overcast clouds,13.6017,26.6876,
582,Capoterra,IT,78.21,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
583,Barra Patuca,HN,79.32,overcast clouds,15.8,-84.2833,
584,Atar,MR,87.8,few clouds,20.5169,-13.0499,Oumou Elghoura
585,Male,MV,78.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
586,Zaltan,LY,77.58,clear sky,32.947,11.8665,زلطن الشرقية
588,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
591,Bahua,IN,77.7,overcast clouds,25.85,80.6333,Sundaram Marriage Hall
594,Yatou,CN,84.72,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
595,Vostok,RU,85.5,broken clouds,46.4856,135.8833,
598,Zhangye,CN,81.45,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
601,Zhangjiakou,CN,77.02,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
604,San Francisco Del Mar,MX,83.5,overcast clouds,16.2333,-94.65,
608,Tondano,ID,84.29,few clouds,1.3038,124.9112,Villa Bella
609,Santa Rosalia,MX,88.77,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
613,Tahta,EG,80.92,clear sky,26.7693,31.5021,El Salam Hotel
615,Jackson,US,77.95,overcast clouds,42.4165,-122.8345,Agate Village Apartments
616,Dosso,NE,78.35,light rain,13.049,3.1937,Hotel Toubal
617,Namie,JP,89.71,overcast clouds,37.4833,141.0,いこいの村なみえ
620,Pokhara,NP,76.64,overcast clouds,28.2333,83.9833,Butterfly Lodge
621,Goure,NE,76.05,overcast clouds,13.9835,10.2704,
624,Merauke,ID,83.12,overcast clouds,-8.4667,140.3333,
626,Terre Haute,US,80.49,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
627,Labuhan,ID,82.0,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
631,Carbonia,IT,77.65,clear sky,39.1672,8.5222,Lu 'Hotel
634,Bundaberg,AU,75.49,overcast clouds,-24.85,152.35,Takalvan Motel
635,Navoi,UZ,78.28,clear sky,40.0844,65.3792,Silk Road Hotel Termez
